fy,edition,document,name,printed_heading,pages,what_it_is,grain,columns,layout,printed_total,approx_rows,extractable,notes,cluster
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Capital project funds, FY 2011",CAPITAL PROJECT FUNDS FY 2011 / PURPOSE | APPROPRIATED FORWARD | EXPENDED/ENCUMBERED/TRANSFERRED | BALANCE,71,"Every open capital project article, what was appropriated or carried forward, what was spent and what remains — grouped by the capital plan year that authorised it (FY08 CAPITAL PLAN, FY08 CAPITAL PROGRAM, FY09 CAPITAL PROGRAM, FY09 CAPITAL IMPROVEMENTS, FY10 CAPITAL PROGRAM, FY11 CAPITAL PROGRAM).",one capital project / article,PURPOSE | APPROPRIATED FORWARD | EXPENDED/ENCUMBERED/TRANSFERRED | BALANCE,four-column table with year-group subheadings,"$2,561,789.31 $750,290.55 $1.811.498.76 (unlabelled total row)",35,messy,"Rows 39-46 have slipped a line: RENOVATE DPW FACILITY, TOWN HALL RENOVATIONS, ROAD IMPROVEMENTS and FRONT END LOADER have their expended and balance figures displaced by one row, and the word 'TAL' (from TOTAL) sits alone on line 46. The left margin of the last three lines is cut ('d from FY 10', 'al Town Meeting', 'ial Town Meeting') — these are the footnote keys. RENOVATE DPW FACILITY $1,100,000.00 is the largest single project.",capital funds project
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Reconciliation of Treasurer's cash by bank account,Total Cash per Treasurer 6/30/11,72,"Every bank and investment account the town holds, with its balance at year end.",one bank or investment account,(account) | (balance),"two columns, name left and balance right","Total Cash per Treasurer 6/30/11 8,815,693.69",22,clean,"The listed balances sum against a printed total, so this table checks itself. Fourteen separate institutions. Named accounts reveal fund structure not visible elsewhere: 'Fidelity Bank Sewer Enterprise' 579,693.43, 'Fidelity Bank Trash Enterprise' 28,723.84, 'Eastern Bank School Activity Fees' 94,453.01, 'BankNorth Stabilization' 364,112.30, 'Batholomew Trust Funds' 2,151,704.92.",account bank cash reconciliation
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Trust funds, fiscal year 2011",TRUST FUNDS / FUND NAME / PRINCIPAL BEGINNING BALANCE / EARNINGS BEGINNING BALANCE / PRINCIPAL CONTRIB TO / EARNINGS NET / PRINCIPAL DISBURSE FROM / TRANSFERS OF EARNINGS / ENDING CASH VALUE / LIBRARY FUNDS / CONSERVATION FUNDS / CEMETERY FUNDS / SCHOLARSHIP FUNDS / MISCELLANEOUS FUNDS / STABILIZATION FUNDS,73-74,"Every named trust fund the town holds, with principal and earnings opening balances, contributions, net earnings, disbursements and closing cash value, subtotalled by category.",one trust fund,FUND NAME | PRINCIPAL BEGINNING BALANCE | EARNINGS BEGINNING BALANCE | PRINCIPAL CONTRIB TO | EARNINGS NET | PRINCIPAL DISBURSE FROM | TRANSFERS OF EARNINGS | ENDING CASH VALUE,"landscape table printed sideways; the OCR has read it 180 degrees out, so the FUND NAME column appears at the RIGHT and the column headers appear at the BOTTOM of the page reading upward","GRAND TOTALS $2,122,930.0 $34.50 $0.00 $15,307.76 $3,940.25 $197,949.45 $1,905,698.11",40,not without geometry,"The rotation correction has made the VALUES legible but the layout is still mirrored and rows are offset from their names by one line in many places — a fund name on line N frequently belongs to the numbers on line N-1 or N+1. Do not transcribe by row position. Subtotals are printed for LIBRARY, CONSERVATION, CEMETERY, SCHOLARSHIP, MISCELLANEOUS and STABILIZATION groups, and each subtotal can be used to check its group. STABILIZATION alone is $1,186,776 of the $2,122,930 grand total. Named scholarships (Dora Haven Cowdry $380,904, Timothy J Stanley, Ryan Busque, Barbara Nelson, Beth N Curtis) are recorded individually.",funds trust
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Long-term indebtedness and debt limit, five years",Total Within the General Debt Limit / Outside the General Debt Limit / Total Outside the General Debt Limit / Total Long-Term Indebtedness,75,"Outstanding long-term debt by purpose (schools, other building, streets/sidewalks/parking, departmental equipment, athletic and recreational facilities, architectural and engineering services; then sewers, water and other outside the limit) for five years.",one debt purpose across five years,"(purpose) | (five year columns, unlabelled)",six-column table; the year header row is missing,"Total Long-Term Indebtedness $27,097.992 D29.122,015 $22,490,706 $28,121,418 $29,127,892",12,messy,"The year labels for the five columns are NOT in the OCR, and the purpose labels have slipped: several rows print their label on one line and their figures on the line above or below (Streets Sidewalks & Parking, Athletic & Recreational Facilities, Architectural & Engineering Services, Water, Other Outside General). The footnote is legible: '(I) Principal amount only. Excludes lease and installment purchase obligations, overlapping debt and unfunded pension liability.' The school debt row (8,440,000 ... 10,550,000) is the largest component. The printed total $27,097,992 for FY2011 matches the LONG TERM DEBT figure on the p56 balance sheet, which is a good cross-check.",debt five indebtedness limit
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Authorized unissued debt,Authorized Unissued Debt and Prospective Financing / The Town has the following authorized unissued debt: / Amount | Purpose,75,Debt the town has voted but not yet borrowed against.,one authorisation,Amount | Purpose,two columns,"$1,327,892.13",5,clean,"Sewer Construction $284,264 and $28,708; Building Renovations $125,000; School Heating System $56,550; Water & Wastewater Rural Dev. (Meadow Woods) $833,370.13. The five amounts tie to the printed total.",authorized debt unissued
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Debt repayment schedule as of June 30 2011,TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30 2011 / FISCAL YEAR / MASS WATER POOL 3* / MASS WATER POOL 4* / MASS WATER POOL 5* / MASS WATER POOL 7* / MASS WATER POOL 9* / MASS WATER POOL 13* / MASS WATER POOL 14* / MUNICIPAL PURPOSE / MUNICIPAL PURPOSE SEWER / MUNICIPAL PURPOSE WATER / PRINCIPAL / INTEREST / TOTAL MASS WATER POLL TRUST / TOTAL MUNICIPAL PURPOSE / GRAND TOTAL PRINCIPAL / GRAND TOTAL INTEREST / TOTAL DEBT,76-77,"Year-by-year principal and interest due on every outstanding issue, from FY2012 out to FY2042, split by borrowing (ten separate issues) with grand totals per year.","one issue and one component (principal, interest or total) across the year columns",FISCAL YEAR | 2012 | 2013 | ... | 2042,"two landscape pages: p76 covers FY2012-FY2026 and is printed 180 degrees out (row labels at the RIGHT, year header row at the BOTTOM); p77 covers FY2031-FY2042 and reads normally with labels at the left","TOTAL DEBT $2,903,638 $3,065,647 (p76, FY2013 and FY2012) and TOTAL DEBT $155,945 ... (p77)",30,not without geometry,"Both pages have values scattered across lines away from their labels; on p76 a label and its numbers regularly sit on different lines. The years FY2027-FY2030 do not appear on either page and may be on a page whose OCR failed. p77's year header runs 2031-2042 but its GRAND TOTAL PRINCIPAL row has 13 values for 12 headed years. Do not use without going back to the PDF. What IS reliable: the set of issues by name, and that the tail debt out to FY2042 is a level $155,945 a year of Municipal Purpose Water.",debt june repayment
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Collection of taxes: commitments, payments, abatements and balances",TOWN OF LUNENBURG / [COM]MITMENT COLLECTION OF TAXES / BALANCES FORWARD | COMMITTMENTS | ADJUSTMENTS | REFUNDS | PAYMENTS | ABATEMENTS | TRANSFER | BALANCES,78,"The receivable roll: for each tax type and year, the balance brought forward, new commitments, adjustments, refunds, payments, abatements, transfers to tax title and the closing balance.",one tax type and levy year,BALANCES FORWARD | COMMITTMENTS | ADJUSTMENTS | REFUNDS | PAYMENTS | ABATEMENTS | TRANSFER | BALANCES,landscape table printed 180 degrees out — column headers at the BOTTOM of the page and the row-label column missing entirely from the OCR,,64,not without geometry,"STILL UNUSABLE. The values are now legible but there are NO row labels at all — nothing says which line is FY2011 real estate and which is FY2008 personal property. 17,731,543.03 is recognisably the real estate commitment and 739,841.58 the tax lien balance (both cross-check against p56 and p58), but the rest cannot be assigned. Needs the PDF.",abatements balances collection commitments
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Annual Town Election results by precinct, Saturday May 21 2011","SATURDAY MAY 21, 2011 / ** ELECTED / PRECA | PREC B | PREC C | PREC D | TOTAL / SELECTMAN - For 3 years / Vote for Two / SEWER COMMISSIONER - For 3 years / Vote for One / BOARD OF HEALTH MEMBER - For 3 years / Vote for Two / ASSESSOR - For 3 years / Vote for One / SCHOOL COMMITTEE MEMBER - For 3 years / Vote for Two / PARK COMMISSIONER - For 3 years / Vote for One / COMMISSIONER OF TRUST FUNDS - For 3 years / Vote for One / CEMETERY COMMISSIONER - For 3 years / Vote for one / HOUSING AUTHORITY MEMBER - For 5 years / Vote for One",79-80,"Vote counts for every contest on the annual town election ballot, by precinct, with blanks and a total, and the winner starred.",one candidate (plus a Blanks row and a TOTAL row) in one contest,(candidate) | PREC A | PREC B | PREC C | PREC D | TOTAL,"printed 180 degrees out: contest headings and candidate names run down the RIGHT, precinct columns to their left, and the column header row is the LAST line of p79","TOTAL rows per contest (e.g. 118 for several single-seat races, 236 for the two-seat Board of Health race)",30,not without geometry,"Rotation still wrong. Many precinct cells are empty and only the TOTAL column carries a value, so per-precinct numbers are mostly lost. Turnout is strikingly low — 118 ballots across four precincts. All contests appear uncontested (one name plus Blanks). Vote-for-Two contests print a doubled total (236, 118+118).",election may precinct results
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Vitals report: births, marriages and deaths recorded in 2011",VITALS REPORT: / DURING 2011 THE TOWN CLERK RECORDED THE FOLLOWING: / MARRIAGES - 44   DEATHS - 58   BIRTHS - 92,80,"The year's vital statistics reduced to three totals, with a note explaining why individual names are no longer printed.",one vital record type,(record type) | (count),"one line of three label-dash-value pairs, printed 180 degrees out with the explanatory note reading bottom-up",MARRIAGES - 44   DEATHS - 58   BIRTHS - 92,3,clean,"The note is worth quoting: the full vital statistics report 'WILL NO LONGER APPEAR IN ITS' USUAL FORMAT' at the recommendation of the Registry of Vital Records and the US Department of State; names have been removed and only occurrence counts remain. This is the year the town stopped publishing names, so any series built on the old detail breaks here.",births deaths marriages recorded
2011,FY2011,4117-fy-2011-annual-town-report.pdf,FY12 Yearly Capital Plan as voted (Annual Town Meeting Article 19),ARTICLE 19. ... VOTED 213rds DECLARED as follows:,83,"The twelve capital items funded by the FY12 capital plan vote, with the amount for each.",one capital item,(item) | (amount),"two columns, indented under the article text",,12,clean,"The article text above gives the funding split: $133,765.00 transferred from available funds plus $405,000.00 borrowed, i.e. $538,765.00, which is what the twelve items sum to. This is the complete version of the wrecked p13-14 table. DPW FE Loader $125,000, THMS Parking Lot $110,000, General Technology $54,965, Fire Engine 2 refit $50,000, School Technology $45,000, THMS Gym Bleachers & Gym Floor $35,000, HS ADA Access $25,000, THMS Whiteboards $25,000, Police Cruisers $24,000, Fire Radio DPW/Police $20,000, HS Asbestos Abatement $15,000, Police Bulletproof Vests $9,800.",article capital meeting plan
2011,FY2011,4117-fy-2011-annual-town-report.pdf,FY 2012 Omnibus Budget as voted at Annual Town Meeting,Line No. | Account | VOTED FY 2012 / Maturing Debt & Interest / Total Maturing Debt / Unclassified / Total Gen Gov Unclassified / General Government / Total General Government / Central Purchasing / Total Central Purchasing / Protection / Subtotal Police / Subtotal Fire Dept. / Subtotal Other Protection / Total Protection / Health & Sanitation / Total Health & Sanitation / Department of Public Works / Total DPW / Total Assistance / Subtotal Veterans / Schools / Total Schools / Library / Total Library / Recreation / Total Recreation / TOTAL OMNIBUS BUDGET,84-85,"The whole FY2012 operating budget as voted, line item by numbered line, with subtotals per function group.",one numbered budget line,Line No. | Account | VOTED FY 2012,two side-by-side three-column blocks per page; line numbers 1 through 83 run down the left of each block,"TOTAL OMNIBUS BUDGET $26,582,151.74",83,messy,"The most useful single table in the report for budget work: it is the VOTED budget, at line-item grain, with the town's own line numbering. A handful of amounts are blank in the OCR (line 28 Assessor's Salaries, line 19 Charter Review Comm, 79A Unemploy. School-Stab Fund, 'Vehicle Mtc - School', 68A Capital - Facilities & Grounds, 64A Capital - General Highway) — some of these were genuinely zero. Line 15 'Medicare - Town's Share' prints as '#####' where the line number should be. School Department line 79 is $14,908,820.00 and Monty Tech line 80 is $628,573.00, giving Total Schools $15,537,393.00 of a $26,582,151.74 budget. Subtotals let each group be checked independently.",budget meeting omnibus voted
